,0
0,2.6847724529002984e-91
1,2.6847724525739427e-91
2,2.684772452247012e-91
3,2.6847724519195064e-91
4,2.684772451591424e-91
5,2.684772451262765e-91
6,2.6847724509335275e-91
7,2.684772450603711e-91
8,2.684772450273313e-91
9,2.6847724499423344e-91
10,2.684772449610773e-91
11,2.6847724492786284e-91
12,2.684772448945898e-91
13,2.684772448612584e-91
14,2.684772448278682e-91
15,2.6847724479441933e-91
16,2.684772447609116e-91
17,2.684772447273449e-91
18,2.684772446937191e-91
19,2.6847724466003414e-91
20,2.684772446262898e-91
21,2.6847724459248614e-91
22,2.684772445586231e-91
23,2.684772445247003e-91
24,2.6847724449071793e-91
25,2.684772444566757e-91
26,2.684772444225736e-91
27,2.6847724438841146e-91
28,2.6847724435418923e-91
29,2.684772443199068e-91
30,2.6847724428556395e-91
31,2.684772442511607e-91
32,2.684772442166969e-91
33,2.684772441821725e-91
34,2.684772441475873e-91
35,2.684772441129412e-91
36,2.684772440782342e-91
37,2.6847724404346613e-91
38,2.684772440086368e-91
39,2.6847724397374623e-91
40,2.684772439387942e-91
41,2.6847724390378074e-91
42,2.6847724386870573e-91
43,2.6847724383356885e-91
44,2.684772437983703e-91
45,2.6847724376310963e-91
46,2.6847724372778696e-91
47,2.684772436924021e-91
48,2.68477243656955e-91
49,2.684772436214456e-91
50,2.6847724358587375e-91
51,2.684772435502391e-91
52,2.6847724351454185e-91
53,2.684772434787818e-91
54,2.684772434429588e-91
55,2.6847724340707274e-91
56,2.6847724337112357e-91
57,2.68477243335111e-91
58,2.684772432990353e-91
59,2.684772432628959e-91
60,2.6847724322669297e-91
61,2.6847724319042627e-91
62,2.684772431540959e-91
63,2.684772431177015e-91
64,2.684772430812431e-91
65,2.684772430447205e-91
66,2.684772430081336e-91
67,2.684772429714824e-91
68,2.6847724293476664e-91
69,2.684772428979862e-91
70,2.684772428611412e-91
71,2.6847724282423126e-91
72,2.6847724278725636e-91
73,2.684772427502165e-91
74,2.6847724271311134e-91
75,2.684772426759409e-91
76,2.6847724263870504e-91
77,2.684772426014036e-91
78,2.6847724256403664e-91
79,2.684772425266039e-91
80,2.684772424891053e-91
81,2.684772424515406e-91
82,2.6847724241390994e-91
83,2.6847724237621295e-91
84,2.684772423384496e-91
85,2.6847724230061987e-91
86,2.684772422627236e-91
87,2.684772422247606e-91
88,2.684772421867307e-91
89,2.6847724214863406e-91
90,2.6847724211047025e-91
91,2.684772420722393e-91
92,2.6847724203394105e-91
93,2.6847724199557543e-91
94,2.6847724195714233e-91
95,2.684772419186415e-91
96,2.6847724188007296e-91
97,2.684772418414366e-91
98,2.684772418027323e-91
99,2.684772417639597e-91
100,2.68477241725119e-91
101,2.684772416862099e-91
102,2.684772416472324e-91
103,2.6847724160818627e-91
104,2.6847724156907136e-91
105,2.6847724152988766e-91
106,2.684772414906351e-91
107,2.684772414513133e-91
108,2.684772414119224e-91
109,2.6847724137246223e-91
110,2.684772413329324e-91
111,2.684772412933332e-91
112,2.6847724125366425e-91
113,2.684772412139255e-91
114,2.684772411741168e-91
115,2.684772411342381e-91
116,2.6847724109428924e-91
117,2.6847724105427e-91
118,2.6847724101418035e-91
119,2.6847724097402026e-91
120,2.6847724093378936e-91
121,2.6847724089348767e-91
122,2.6847724085311507e-91
123,2.684772408126715e-91
124,2.684772407721566e-91
125,2.684772407315706e-91
126,2.684772406909131e-91
127,2.6847724065018406e-91
128,2.684772406093833e-91
129,2.6847724056851075e-91
130,2.684772405275662e-91
131,2.6847724048654966e-91
132,2.68477240445461e-91
133,2.6847724040430005e-91
134,2.684772403630666e-91
135,2.6847724032176065e-91
